country_code,country_name,year,balance_usd_m,exports_usd_m,imports_usd_m
4,Afghanistan,2010,-4766.0,388.0,5154.0
4,Afghanistan,2015,-7151.0,571.0,7723.0
4,Afghanistan,2022,-4787.0,413.0,5200.0
4,Afghanistan,2023,-4713.0,438.0,5152.0
4,Afghanistan,2024,-3764.0,486.0,4250.0
2,Africa,1995,-10892.0,103460.0,114352.0
2,Africa,2005,60428.0,306656.0,246228.0
2,Africa,2010,28159.0,496594.0,468435.0
2,Africa,2015,-126462.0,421507.0,547969.0
2,Africa,2022,-50370.0,673300.0,723671.0
2,Africa,2023,-80888.0,639486.0,720375.0
2,Africa,2024,-48777.0,640136.0,688913.0
8,Albania,1995,-511.0,202.0,713.0
8,Albania,2005,-1956.0,658.0,2614.0
8,Albania,2010,-3053.0,1550.0,4603.0
8,Albania,2015,-2391.0,1930.0,4320.0
8,Albania,2022,-4101.0,4306.0,8407.0
8,Albania,2023,-4294.0,4375.0,8669.0
8,Albania,2024,-5603.0,4001.0,9604.0
12,Algeria,1995,-1426.0,9357.0,10782.0
12,Algeria,2005,25645.0,46002.0,20357.0
12,Algeria,2010,16051.0,57051.0,41000.0
12,Algeria,2015,-17007.0,34796.0,51803.0
12,Algeria,2022,24197.0,65102.0,40905.0
12,Algeria,2023,12795.0,57360.0,44564.0
12,Algeria,2024,3903.0,51442.0,47539.0
19,Americas,1995,-181139.0,997709.0,1178848.0
19,Americas,2005,-721825.0,1835325.0,2557150.0
19,Americas,2010,-679532.0,2551125.0,3230657.0
19,Americas,2015,-933649.0,2822984.0,3756634.0
19,Americas,2022,-1388950.0,4057843.0,5446794.0
19,Americas,2023,-1169297.0,3963139.0,5132436.0
19,Americas,2024,-1301051.0,4061918.0,5362969.0
20,Andorra,1995,-978.0,48.0,1025.0
20,Andorra,2005,-1653.0,143.0,1796.0
20,Andorra,2010,-1448.0,92.0,1541.0
20,Andorra,2015,-1204.0,90.0,1294.0
20,Andorra,2022,-1478.0,386.0,1864.0
20,Andorra,2023,-1742.0,252.0,1995.0
24,Angola,1995,2126.0,3592.0,1466.0
24,Angola,2005,15514.0,23835.0,8321.0
24,Angola,2010,34469.0,52612.0,18143.0
24,Angola,2015,12376.0,33925.0,21549.0
24,Angola,2022,33472.0,51275.0,17803.0
24,Angola,2023,23810.0,39506.0,15696.0
24,Angola,2024,28808.0,39839.0,11031.0
660,Anguilla,1995,-52.0,1.0,53.0
660,Anguilla,2005,-126.0,7.0,133.0
660,Anguilla,2010,-137.0,12.0,149.0
660,Anguilla,2015,-371.0,37.0,407.0
660,Anguilla,2022,-1433.0,45.0,1478.0
660,Anguilla,2023,-1378.0,40.0,1419.0
660,Anguilla,2024,-1647.0,51.0,1697.0
28,Antigua and Barbuda,1995,-291.0,53.0,344.0
28,Antigua and Barbuda,2005,-405.0,121.0,525.0
28,Antigua and Barbuda,2010,-466.0,35.0,501.0
28,Antigua and Barbuda,2015,-439.0,26.0,465.0
28,Antigua and Barbuda,2022,-606.0,22.0,628.0
28,Antigua and Barbuda,2023,-639.0,30.0,670.0
28,Antigua and Barbuda,2024,-630.0,33.0,663.0
32,Argentina,1995,841.0,20963.0,20122.0
32,Argentina,2005,11418.0,40106.0,28689.0
32,Argentina,2010,11382.0,68174.0,56792.0
32,Argentina,2015,-3419.0,56784.0,60203.0
32,Argentina,2022,6923.0,88446.0,81523.0
32,Argentina,2023,-6925.0,66789.0,73714.0
32,Argentina,2024,18928.0,79703.0,60776.0
51,Armenia,1995,-403.0,271.0,674.0
51,Armenia,2005,-755.0,937.0,1692.0
51,Armenia,2010,-2770.0,1011.0,3782.0
51,Armenia,2015,-1774.0,1483.0,3257.0
51,Armenia,2022,-3286.0,5364.0,8650.0
51,Armenia,2023,-3651.0,8371.0,12022.0
51,Armenia,2024,-3775.0,13028.0,16803.0
533,Aruba,1995,-551.0,15.0,566.0
533,Aruba,2005,-924.0,106.0,1030.0
533,Aruba,2010,-947.0,125.0,1071.0
533,Aruba,2015,-1085.0,80.0,1165.0
533,Aruba,2022,-1368.0,105.0,1473.0
533,Aruba,2023,-1426.0,111.0,1537.0
533,Aruba,2024,-1141.0,89.0,1230.0
142,Asia,1995,56953.0,1557385.0,1500432.0
142,Asia,2005,397647.0,3569857.0,3172210.0
142,Asia,2010,436440.0,5896164.0,5459724.0
142,Asia,2015,599816.0,6833753.0,6233938.0
142,Asia,2022,800343.0,10593170.0,9792827.0
142,Asia,2023,777774.0,9903060.0,9125286.0
142,Asia,2024,753921.0,9834599.0,9080678.0
36,Australia,1995,-4752.0,52628.0,57381.0
36,Australia,2005,-19210.0,106011.0,125221.0
36,Australia,2010,10405.0,212109.0,201703.0
36,Australia,2015,-12322.0,187792.0,200114.0
36,Australia,2022,100953.0,410253.0,309300.0
36,Australia,2023,81374.0,369235.0,287861.0
36,Australia,2024,44373.0,340855.0,296482.0
53,Australia and New Zealand,1995,-4965.0,66374.0,71338.0
53,Australia and New Zealand,2005,-23714.0,127740.0,151453.0
53,Australia and New Zealand,2010,11183.0,243502.0,232319.0
53,Australia and New Zealand,2015,-14493.0,222149.0,236642.0
53,Australia and New Zealand,2022,91718.0,455868.0,364150.0
53,Australia and New Zealand,2023,73039.0,411359.0,338320.0
53,Australia and New Zealand,2024,39629.0,383685.0,344056.0
40,Austria,1995,-12871.0,53460.0,66331.0
40,Austria,2005,-2228.0,117722.0,119950.0
40,Austria,2010,-5711.0,144882.0,150593.0
40,Austria,2015,-2652.0,145276.0,147928.0
40,Austria,2022,-22722.0,203753.0,226475.0
40,Austria,2023,-2920.0,216177.0,219097.0
40,Austria,2024,2019.0,206423.0,204403.0
31,Azerbaijan,1995,-30.0,637.0,666.0
31,Azerbaijan,2005,136.0,4347.0,4211.0
31,Azerbaijan,2010,14682.0,21278.0,6597.0
31,Azerbaijan,2015,3432.0,12646.0,9214.0
31,Azerbaijan,2022,23611.0,38146.0,14536.0
31,Azerbaijan,2023,16620.0,33899.0,17278.0
31,Azerbaijan,2024,5499.0,26554.0,21055.0
44,Bahamas (The),1995,-1067.0,176.0,1243.0
44,Bahamas (The),2005,-2296.0,271.0,2567.0
44,Bahamas (The),2010,-2242.0,620.0,2862.0
44,Bahamas (The),2015,-2719.0,443.0,3161.0
44,Bahamas (The),2022,-3184.0,574.0,3758.0
44,Bahamas (The),2023,-3487.0,701.0,4187.0
44,Bahamas (The),2024,-4065.0,433.0,4498.0
