country_code,country_name,year,direction,rank,partner_name,pct_share
4,Afghanistan,2015,exports,1,India,33.1
4,Afghanistan,2015,exports,2,Pakistan,39.7
4,Afghanistan,2015,exports,3,Uzbekistan,0.0
4,Afghanistan,2015,imports,1,United Arab Emirates,4.2
4,Afghanistan,2015,imports,2,China,13.5
4,Afghanistan,2015,imports,3,Pakistan,17.4
4,Afghanistan,2020,exports,1,India,28.1
4,Afghanistan,2020,exports,2,Pakistan,28.4
4,Afghanistan,2020,exports,3,Uzbekistan,0.1
4,Afghanistan,2020,imports,1,United Arab Emirates,19.1
4,Afghanistan,2020,imports,2,China,5.7
4,Afghanistan,2020,imports,3,Pakistan,10.0
4,Afghanistan,2024,exports,1,India,38.5
4,Afghanistan,2024,exports,2,Pakistan,38.1
4,Afghanistan,2024,exports,3,Uzbekistan,3.3
4,Afghanistan,2024,imports,1,United Arab Emirates,22.0
4,Afghanistan,2024,imports,2,China,17.9
4,Afghanistan,2024,imports,3,Pakistan,17.6
8,Albania,2015,exports,1,Italy,50.9
8,Albania,2015,exports,2,Serbia,9.9
8,Albania,2015,exports,3,Montenegro,3.9
8,Albania,2015,imports,1,Italy,30.3
8,Albania,2015,imports,2,China,8.6
8,Albania,2015,imports,3,Türkiye,8.0
8,Albania,2020,exports,1,Italy,45.3
8,Albania,2020,exports,2,Serbia,12.1
8,Albania,2020,exports,3,Montenegro,5.0
8,Albania,2020,imports,1,Italy,25.2
8,Albania,2020,imports,2,China,9.0
8,Albania,2020,imports,3,Türkiye,9.6
8,Albania,2024,exports,1,Italy,43.7
8,Albania,2024,exports,2,Serbia,12.1
8,Albania,2024,exports,3,Montenegro,6.3
8,Albania,2024,imports,1,Italy,21.2
8,Albania,2024,imports,2,China,10.9
8,Albania,2024,imports,3,Türkiye,10.8
12,Algeria,2015,exports,1,Italy,15.1
12,Algeria,2015,exports,2,France,13.2
12,Algeria,2015,exports,3,Spain,17.7
12,Algeria,2015,imports,1,China,15.9
12,Algeria,2015,imports,2,France,10.5
12,Algeria,2015,imports,3,Italy,9.4
12,Algeria,2020,exports,1,Italy,16.2
12,Algeria,2020,exports,2,France,13.7
12,Algeria,2020,exports,3,Spain,12.9
12,Algeria,2020,imports,1,China,16.2
12,Algeria,2020,imports,2,France,13.9
12,Algeria,2020,imports,3,Italy,6.4
12,Algeria,2024,exports,1,Italy,24.4
12,Algeria,2024,exports,2,France,14.1
12,Algeria,2024,exports,3,Spain,12.3
12,Algeria,2024,imports,1,China,25.6
12,Algeria,2024,imports,2,France,11.4
12,Algeria,2024,imports,3,Italy,6.9
24,Angola,2015,exports,1,China,42.2
24,Angola,2015,exports,2,Spain,6.6
24,Angola,2015,exports,3,Netherlands,3.3
24,Angola,2015,imports,1,China,15.4
24,Angola,2015,imports,2,Portugal,12.9
24,Angola,2015,imports,3,United Arab Emirates,2.4
24,Angola,2020,exports,1,China,59.7
24,Angola,2020,exports,2,Spain,3.4
24,Angola,2020,exports,3,Netherlands,1.1
24,Angola,2020,imports,1,China,15.4
24,Angola,2020,imports,2,Portugal,13.9
24,Angola,2020,imports,3,United Arab Emirates,2.2
24,Angola,2024,exports,1,China,46.6
24,Angola,2024,exports,2,Spain,7.5
24,Angola,2024,exports,3,Netherlands,6.1
24,Angola,2024,imports,1,China,15.5
24,Angola,2024,imports,2,Portugal,10.9
24,Angola,2024,imports,3,United Arab Emirates,6.9
660,Anguilla,2015,exports,1,Chile,1.0
660,Anguilla,2015,exports,2,Tajikistan,0.6
660,Anguilla,2015,imports,1,Chile,0.2
660,Anguilla,2015,imports,2,United States,60.5
660,Anguilla,2020,exports,1,Chile,73.6
660,Anguilla,2020,exports,2,Tajikistan,0.0
660,Anguilla,2020,imports,1,Chile,54.4
660,Anguilla,2020,imports,2,United States,31.5
660,Anguilla,2024,exports,1,Chile,58.4
660,Anguilla,2024,exports,2,Tajikistan,13.3
660,Anguilla,2024,exports,3,Paraguay,5.3
660,Anguilla,2024,imports,1,Chile,51.0
660,Anguilla,2024,imports,2,United States,29.2
660,Anguilla,2024,imports,3,Botswana,8.9
28,Antigua and Barbuda,2015,exports,1,United States,30.1
28,Antigua and Barbuda,2015,exports,3,China,0.2
28,Antigua and Barbuda,2015,imports,1,United States,55.5
28,Antigua and Barbuda,2015,imports,2,China,5.2
28,Antigua and Barbuda,2015,imports,3,Trinidad and Tobago,3.6
