T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,"5,099,057",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,"10,587,474",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,"15,275,115",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,"16,420,011",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2022,Imports CIF (millions of US dollars),,,"25,241,811",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2023,Imports CIF (millions of US dollars),,,"23,778,357",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2024,Imports CIF (millions of US dollars),,,"23,826,942",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,"5,050,238",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,"10,377,926",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,"15,102,218",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,"16,256,713",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2022,Exports FOB (millions of US dollars),,,"24,554,168",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2023,Exports FOB (millions of US dollars),,,"23,427,648",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2024,Exports FOB (millions of US dollars),,,"23,413,421",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,,"-48,819",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,,"-209,548",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,,"-172,897",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,,"-163,298",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2022,Balance imports/exports (millions of US dollars),,,"-687,643",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2023,Balance imports/exports (millions of US dollars),,,"-350,708",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
1,"Total, all countries or areas",2024,Balance imports/exports (millions of US dollars),,,"-413,521",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,1995,Imports CIF (millions of US dollars),,,"114,352",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2005,Imports CIF (millions of US dollars),,,"246,228",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2010,Imports CIF (millions of US dollars),,,"468,435",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2015,Imports CIF (millions of US dollars),,,"547,969",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2022,Imports CIF (millions of US dollars),,,"723,671",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2023,Imports CIF (millions of US dollars),,,"720,375",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2024,Imports CIF (millions of US dollars),,,"688,913",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,1995,Exports FOB (millions of US dollars),,,"103,460",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2005,Exports FOB (millions of US dollars),,,"306,656",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2010,Exports FOB (millions of US dollars),,,"496,594",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2015,Exports FOB (millions of US dollars),,,"421,507",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2022,Exports FOB (millions of US dollars),,,"673,300",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2023,Exports FOB (millions of US dollars),,,"639,486",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2024,Exports FOB (millions of US dollars),,,"640,136",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,1995,Balance imports/exports (millions of US dollars),,,"-10,892",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2005,Balance imports/exports (millions of US dollars),,,"60,428",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2010,Balance imports/exports (millions of US dollars),,,"28,159",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2015,Balance imports/exports (millions of US dollars),,,"-126,462",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2022,Balance imports/exports (millions of US dollars),,,"-50,370",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2023,Balance imports/exports (millions of US dollars),,,"-80,888",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
2,Africa,2024,Balance imports/exports (millions of US dollars),,,"-48,777",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,"45,062",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,"87,571",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,"181,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,"205,432",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2022,Imports CIF (millions of US dollars),,,"263,881",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2023,Imports CIF (millions of US dollars),,,"249,295",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2024,Imports CIF (millions of US dollars),,,"269,467",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,"33,043",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,"114,104",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,"165,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,"124,602",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2022,Exports FOB (millions of US dollars),,,"240,231",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2023,Exports FOB (millions of US dollars),,,"219,536",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2024,Exports FOB (millions of US dollars),,,"211,394",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,"-12,019",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,"26,533",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,"-15,603",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
